Status,Home,Time,Age,Expenses,Income,Debt,Amount,Price
1,1,60,30,73,129,0,800,846
1,1,60,58,48,131,0,1000,"1,658.00"
2,2,36,46,90,200,0,2000,"2,985.00"
1,1,60,24,63,182,0,900,"1,325.00"
1,1,36,26,46,107,0,310,910
1,2,60,36,75,214,0,650,"1,645.00"
1,2,60,44,75,125,0,1600,"1,800.00"
1,5,12,27,35,80,0,200,"1,093.00"
1,2,60,32,90,107,0,1200,"1,957.00"
2,5,48,41,90,80,0,1200,"1,468.00"
1,2,48,34,60,125,0,1150,"1,577.00"
1,2,36,29,60,121,0,650,915
1,2,60,30,75,199,"2,500.00",1500,"1,650.00"
1,3,36,37,75,170,260,600,940
2,6,18,21,35,50,0,400,500
1,2,24,68,75,131,0,900,"1,186.00"
1,3,24,52,35,330,0,1500,"2,201.00"
1,1,24,68,65,200,"2,000.00",600,"1,350.00"
2,4,48,36,45,130,0,1100,"1,511.00"
1,5,60,31,35,137,0,1250,"1,253.00"
2,1,60,25,46,107,0,1500,"2,189.00"
1,2,60,22,45,324,0,1100,"1,159.00"
2,2,60,45,105,112,500,600,"1,332.00"
1,1,60,41,74,140,0,950,"1,497.00"
1,2,60,51,45,143,0,1350,"1,357.00"
1,2,36,54,60,130,0,700,"2,100.00"
1,2,60,43,75,180,0,1000,"1,070.00"
1,2,36,43,75,251,0,1800,"2,557.00"
2,2,24,23,75,85,0,600,1600
1,2,48,29,45,150,"3,300.00",1100,"1,312.00"
2,2,36,23,45,122,0,400,400
1,3,24,51,75,198,0,450,650
1,2,36,39,75,150,0,1000,"1,394.00"
1,5,36,35,35,170,0,1100,"1,542.00"
1,2,24,62,45,119,0,700,"1,200.00"
1,2,24,56,45,208,0,500,"1,560.00"
1,2,48,32,75,115,0,800,"1,200.00"
2,1,54,36,70,99,0,950,950
1,2,60,64,45,120,0,1125,"1,300.00"
2,1,48,31,44,90,0,1300,"1,700.00"
1,2,60,42,75,137,0,900,"1,167.00"
1,2,60,61,35,230,0,950,"1,150.00"
2,2,60,32,45,142,"3,000.00",1250,"1,566.00"
2,2,60,43,75,71,0,1500,1552
1,5,60,26,35,120,0,1150,"1,300.00"
1,2,60,49,35,233,4500,2100,"2,104.00"
1,2,36,47,75,289,0,1500,2154
2,1,36,27,48,128,0,450,545
1,2,36,52,60,150,0,750,"1,778.00"
1,2,60,28,60,145,"1,000.00",1600,"1,718.00"
1,2,60,31,75,90,0,900,"1,500.00"
1,1,60,32,105,301,0,1200,"1,274.00"
1,2,36,51,75,200,"1,200.00",900,"1,015.00"
1,5,12,37,60,150,0,500,"1,701.00"
2,1,48,29,85,100,0,1000,"1,345.00"
1,5,60,26,35,100,0,1000,"1,238.00"
1,5,30,27,45,100,0,500,"1,048.00"
1,2,24,63,60,155,0,600,"1,048.00"
1,2,24,55,90,715,0,800,"1,324.00"
1,1,60,28,70,245,0,1830,"2,201.00"
1,1,48,31,90,150,0,1100,"1,430.00"
2,5,42,27,35,70,0,600,926
1,2,24,40,75,190,0,1000,"1,500.00"
1,2,36,35,75,152,0,1000,"1,542.00"
1,3,60,43,75,126,0,1350,"1,360.00"
1,2,18,34,75,181,0,600,"1,000.00"
1,2,60,37,60,185,0,1200,"1,564.00"
1,2,60,53,45,170,0,850,"1,205.00"
1,1,60,46,93,176,0,2000,2200
1,5,36,36,60,238,0,900,2214
1,3,60,46,60,115,800,1000,"1,137.00"
1,2,48,43,45,200,0,600,"1,025.00"
1,2,36,31,75,411,"4,000.00",800,"1,593.00"
1,2,24,43,75,93,0,700,"1,735.00"
1,1,60,38,86,108,0,1000,"1,132.00"
1,2,12,37,90,500,0,500,"1,338.00"
1,6,36,46,45,45,0,900,"1,100.00"
1,1,36,55,70,250,0,1750,"2,276.00"
1,2,48,56,45,100,0,900,"1,360.00"
1,2,36,55,60,70,0,1000,"1,436.00"
1,5,36,52,60,150,0,550,612
2,2,36,29,60,70,0,850,"1,100.00"
1,2,60,39,35,263,0,1000,"1,300.00"
1,2,60,38,75,200,0,1000,"2,089.00"
1,2,24,24,35,78,"3,000.00",500,"2,262.00"
1,1,60,28,47,120,0,600,"1,054.00"
1,2,60,53,60,125,0,1426,"1,426.00"
2,1,60,25,40,50,0,1040,"1,048.00"
2,1,60,62,60,146,0,1000,"1,292.00"
1,5,60,29,35,70,0,950,1177
2,5,60,32,35,105,0,1490,"1,490.00"
1,1,36,21,101,413,0,750,850
1,1,36,38,95,500,"21,400.00",800,"1,011.00"
1,1,48,56,140,350,0,1400,"1,571.00"
1,2,36,41,75,200,0,1000,"1,000.00"
2,6,36,46,45,138,0,250,270
1,2,60,54,35,80,0,950,"1,382.00"
1,2,36,51,120,208,0,1500,"1,713.00"
1,1,60,52,89,137,0,800,"1,086.00"
1,2,48,57,45,58,0,1500,"3,262.00"
1,1,60,33,73,130,0,1100,"1,610.00"
1,2,60,33,75,123,"1,000.00",600,"1,030.00"
2,1,36,29,78,180,0,650,650
2,6,48,23,35,140,0,1950,"2,175.00"
1,2,24,33,75,315,0,400,"1,780.00"
2,1,36,24,76,164,0,900,950
2,5,60,28,90,325,0,1200,"1,211.00"
1,2,60,27,45,135,"1,400.00",1600,"1,650.00"
2,5,36,33,35,109,0,350,350
1,1,60,32,79,185,0,950,"1,117.00"
1,2,24,39,45,217,"3,000.00",1500,"2,468.00"
2,2,60,51,90,300,"2,500.00",1340,"1,740.00"
2,2,36,39,35,0,0,1000,"1,210.00"
1,2,48,29,60,253,0,670,963
2,2,36,32,75,101,400,1200,"1,646.00"
2,2,36,40,35,200,0,800,800
1,2,36,47,75,124,0,460,470
1,2,24,66,45,143,0,950,"1,370.00"
1,3,48,39,35,250,"1,500.00",700,839
1,2,60,50,75,135,"1,000.00",600,"1,346.00"
1,1,60,25,57,115,0,900,"1,350.00"
2,2,60,27,75,160,"3,000.00",1800,"2,100.00"
1,1,60,54,66,214,0,1300,"1,307.00"
1,1,60,42,114,390,0,1100,"1,126.00"
1,2,48,35,45,500,0,2380,"4,786.00"
2,5,60,23,35,95,0,1400,"1,478.00"
1,2,60,52,75,200,0,1550,"1,568.00"
1,5,24,22,35,85,0,650,"1,056.00"
1,6,18,48,90,214,0,1000,"1,608.00"
1,2,60,25,75,140,0,950,"1,179.00"
2,6,60,26,45,60,0,1400,"1,524.00"
1,2,60,28,75,180,0,1300,"1,730.00"
1,2,30,62,60,300,"9,000.00",600,823
1,1,60,33,65,200,0,700,800
1,5,60,41,75,242,0,1300,"1,482.00"
1,2,60,29,60,155,"2,500.00",900,"1,110.00"
2,1,60,37,45,100,0,1150,"1,555.00"
1,2,60,31,60,105,0,1100,"1,170.00"
1,2,12,50,45,166,0,500,886
2,1,60,42,47,120,0,800,"1,395.00"
1,2,36,33,60,115,"2,000.00",1000,"2,084.00"
1,2,24,54,90,350,0,3800,"8,800.00"
1,2,36,58,75,0,0,1000,"1,160.00"
1,1,60,40,119,442,"1,947.00",900,"1,211.00"
2,5,60,31,35,101,0,1300,"1,300.00"
2,2,36,35,105,122,"2,000.00",850,850
1,2,60,64,60,250,0,700,"1,204.00"
1,5,24,29,35,90,0,600,"1,528.00"
1,2,48,33,45,160,0,1200,"1,298.00"
1,2,18,35,60,300,0,300,600
2,5,48,28,35,83,0,1000,"1,320.00"
1,2,60,59,45,0,0,1100,"1,300.00"
2,6,60,25,60,60,0,1300,"1,380.00"
2,5,60,23,35,205,0,1400,"1,426.00"
1,2,24,30,75,133,900,1500,"5,200.00"
1,1,36,36,78,179,0,900,"1,503.00"
1,2,48,25,35,0,0,1200,"1,449.00"
1,6,60,22,45,195,0,700,"1,422.00"
1,2,24,45,75,112,0,500,"1,430.00"
1,2,30,47,90,210,0,1550,"1,578.00"
1,3,48,36,75,155,200,1100,"1,250.00"
1,2,36,36,35,394,0,1500,"2,260.00"
1,1,36,60,60,149,0,200,280
1,1,48,59,57,120,0,800,"1,298.00"
2,2,48,58,60,400,0,930,945
1,2,12,37,45,165,0,900,"1,694.00"
2,2,36,32,75,125,0,600,700
1,1,48,26,42,74,0,600,"1,290.00"
1,2,60,40,75,86,0,1300,"1,581.00"
1,2,48,55,45,185,0,1000,"1,383.00"
1,1,60,30,77,165,0,1350,"1,637.00"
1,5,54,43,75,110,0,1275,"1,275.00"
2,1,60,28,74,138,0,1400,"1,400.00"
1,2,24,47,75,300,0,600,832
1,2,36,29,35,147,0,1886,2886
2,1,60,48,35,0,"15,500.00",1200,"1,257.00"
1,5,60,34,60,112,0,600,"1,346.00"
1,2,60,53,75,350,0,800,"1,138.00"
1,2,12,44,45,110,0,300,"1,801.00"
2,2,48,49,45,75,0,900,"1,200.00"
1,1,36,51,113,230,0,950,950
